Year,Sex,e0,segmented
1960,Female,70.69,70.86
1961,Female,71.28,71.3
1962,Female,71.82,71.76
1963,Female,72.33,72.21
1964,Female,72.78,72.67
1965,Female,73.2,73.13
1966,Female,73.59,73.6
1967,Female,73.97,74.06
1968,Female,74.34,74.53
1969,Female,74.72,74.79
1970,Female,75.08,75.05
1971,Female,75.3,75.3
1972,Female,75.4,75.56
1973,Female,75.9,75.82
1974,Female,76.3,76.08
1975,Female,76.8,76.34
1976,Female,76.2,76.61
1977,Female,76.7,76.87
1978,Female,76.7,77.13
1979,Female,76.9,77.4
1980,Female,77.9,77.66
1981,Female,78.5,77.93
1982,Female,78.4,78.2
1983,Female,78.4,78.47
1984,Female,79,78.74
1985,Female,79.2,79.01
1986,Female,79.4,79.28
1987,Female,79.7,79.55
1988,Female,79.9,79.82
1989,Female,80,80.1
1990,Female,80.3,80.37
1991,Female,80.7,80.65
1992,Female,80.7,80.93
1993,Female,80.9,81.2
1994,Female,81.5,81.58
1995,Female,81.5,81.95
1996,Female,82.7,82.33
1997,Female,83.2,82.71
1998,Female,83,83.09
1999,Female,83.2,83.47
2000,Female,83.9,83.85
2001,Female,84.6,84.23
2002,Female,84.5,84.44
2003,Female,84.4,84.64
2004,Female,84.8,84.85
2005,Female,84.6,85.05
2006,Female,85.5,85.26
2007,Female,85.4,85.47
2008,Female,85.5,85.67
2009,Female,85.9,85.88
2010,Female,86,86.09
2011,Female,86.7,86.3
2012,Female,86.4,86.51
2013,Female,86.7,86.72
2014,Female,86.9,86.93
2015,Female,87.3,87.14
2016,Female,87.3,87.35
2017,Female,87.6,87.56
2018,Female,87.66,87.77
2019,Female,88.12,87.99
2020,Female,88.14,88.2
1960,Male,63.41,63.53
1961,Male,64,64.02
1962,Male,64.56,64.51
1963,Male,65.1,65.01
1964,Male,65.6,65.51
1965,Male,66.06,66.01
1966,Male,66.47,66.52
1967,Male,66.86,67.03
1968,Male,67.21,67.25
1969,Male,67.55,67.47
1970,Male,67.87,67.69
1971,Male,67.8,67.91
1972,Male,67.7,68.14
1973,Male,68.5,68.54
1974,Male,69.1,68.96
1975,Male,70.1,69.37
1976,Male,69.6,69.78
1977,Male,70.1,70.2
1978,Male,70.6,70.62
1979,Male,70.6,71.05
1980,Male,71.6,71.47
1981,Male,72.3,71.9
1982,Male,72.6,72.33
1983,Male,72.3,72.77
1984,Male,73.2,73.2
1985,Male,73.8,73.64
1986,Male,74.1,74.08
1987,Male,74.2,74.23
1988,Male,74.4,74.38
1989,Male,74.2,74.54
1990,Male,74.6,74.69
1991,Male,75.2,74.84
1992,Male,74.8,74.99
1993,Male,75.3,75.14
1994,Male,75.7,75.66
1995,Male,76,76.18
1996,Male,76.7,76.7
1997,Male,77.2,77.22
1998,Male,77.4,77.45
1999,Male,77.7,77.67
2000,Male,78,77.9
2001,Male,78.4,78.12
2002,Male,78.5,78.35
2003,Male,78.5,78.58
2004,Male,79,78.81
2005,Male,78.8,79.04
2006,Male,79.4,79.27
2007,Male,79.4,79.5
2008,Male,79.4,79.73
2009,Male,79.8,79.96
2010,Male,80.1,80.19
2011,Male,80.3,80.42
2012,Male,80.7,80.66
2013,Male,81.1,80.89
2014,Male,81.2,81.13
2015,Male,81.4,81.36
2016,Male,81.3,81.6
2017,Male,81.9,81.84
2018,Male,82.28,82.07
2019,Male,82.21,82.31
2020,Male,82.71,82.55
